Case Description,Category,cleaned_text
The case concerns a commercial dispute between the company and its supplier.,Commercial,case concern commerci disput compani supplier
The husband sued his wife for not returning the dowry.,Personal Status,husband su wife return dowri
I’m having a dispute with my ex about visitation rights for our child.,Personal Status,i'm disput ex visit right child
The shareholder demanded access to the company’s financial records.,Commercial,sharehold demand access compani financi record
The court reviewed evidence of malpractice committed by a licensed professional.,General,court review evid malpractic commit licens profession
I’m looking for help preparing an official cybercrime report.,General,i'm look help prepar offici cybercrim report
A legal case was filed to enforce the signed financial agreement.,Commercial,legal case file enforc sign financi agreement
The incident involved a breach of privacy that affected several individuals.,General,incid involv breach privaci affect sever individu
A business partner was accused of assault during a contract meeting.,Commercial,busi partner accus assault contract meet
Residents filed a complaint about environmental safety concerns in the neighborhood.,General,resid file complaint environment safeti concern neighborhood
A lawsuit was filed because the landlord failed to pay back the deposit money.,Commercial,lawsuit file landlord fail pay back deposit money
I want to understand how to negotiate custody and asset division properly.,Personal Status,want understand negoti custodi asset divis proper
I want a divorce from my husband,Personal Status,want divorc husband
The case concerns ownership and misuse of a patented design.,Commercial,case concern ownership misus patent design
The case involves a physical attack that resulted in serious harm.,General,case involv physic attack result serious harm
I’m asking for help understanding the steps involved in divorce mediation.,Personal Status,i'm ask help understand step involv divorc mediat
The case involves an unlawful eviction by a property owner.,Commercial,case involv unlaw evict properti owner
I filed a lawsuit to legally establish who the child’s father is.,Personal Status,file lawsuit legal establish child father
The court reviewed documents related to the registered family endowment.,Personal Status,court review document relat regist famili endow
I’m having an insurance dispute after a recent car accident.,General,i'm insur disput recent car accid
A paternity case was submitted to confirm the child’s legal father.,Personal Status,patern case submit confirm child legal father
I was tricked in an online deal and need help reporting it.,General,trick onlin deal need help report
I’m asking for legal advice about privacy violations involving my images.,General,i'm ask legal advic privaci violat involv imag
The case involves harassment and violation of tenant rights.,Commercial,case involv harass violat tenant right
"The situation has escalated, and I’m thinking about taking legal action.",General,situat escal i'm think take legal action
Fraudulent loan application.,General,fraudul loan applic
What should I do if a company refuses to honor my warranty?,Commercial,compani refus honor warranti
The firm strengthened its policies to manage business risk effectively.,Commercial,firm strengthen polici manag busi risk effect
The case involves workplace harassment and a request for legal guidance.,General,case involv workplac harass request legal guidanc
This case involves a dispute over a security deposit not refunded after the lease ended.,Commercial,case involv disput secur deposit refund leas end
The case involved transferring the child to a new foster parent.,Personal Status,case involv transfer child new foster parent
The court emphasized the importance of maintaining contact rights for both parents.,Personal Status,court emphas import maintain contact right parent
The investor suffered losses due to financial deception by the contractor.,Commercial,investor suffer loss due financi decept contractor
recover damages from a road accident.,General,recov damag road accid
An online transaction issue caused financial loss to the customer.,Commercial,onlin transact issu caus financi loss custom
The supplier didn’t follow the agreed conditions in our business deal.,Commercial,supplier didn't follow agre condit busi deal
"I worked in a joint business, but my partner didn’t give me my profit share.",Commercial,work joint busi partner didn't give profit share
Company refusing to deliver purchased goods.,Commercial,compani refus deliv purchas good
The company received multiple product complaints regarding performance issues.,Commercial,compani receiv multipl product complaint regard perform issu
The company received several service complaints related to poor response time.,Commercial,compani receiv sever servic complaint relat poor respons time
Property damage case — trees illegally removed by neighbor.,General,properti damag case — tree illeg remov neighbor
The father accepted paternity after the DNA test results.,Personal Status,father accept patern dna test result
The ex-husband and ex-wife are disputing custody rights,Personal Status,exhusband exwif disput custodi right
The husband revoked the divorce and informed the wife legally.,Personal Status,husband revok divorc inform wife legal
Neighbor built wall too far into my property.,General,neighbor built wall far properti
The agency evaluated her eligibility to serve as a foster parent.,Personal Status,agenc evalu elig serv foster parent
Dispute with contractor over payment.,Commercial,disput contractor payment
A dispute arose during the process of business dissolution.,Commercial,disput aros process busi dissolut
The company terminated the franchise due to repeated policy violations.,Commercial,compani termin franchis due repeat polici violat
The franchisor investigated multiple complaints from franchise branches.,Commercial,franchisor investig multipl complaint franchis branch
The court reviewed a defamation case involving severe reputation damage.,General,court review defam case involv sever reput damag
My landlord increased the rent without legal permission.,Commercial,landlord increas rent without legal permiss
What can I do if someone infringes on my copyright?,General,someon infring copyright
The investigation revealed a hospital error caused by staff negligence.,General,investig reveal hospit error caus staff neglig
I want to report my landlord for refusing to maintain the property.,Commercial,want report landlord refus maintain properti
Both parties blamed each other for financial loss during the partnership.,Commercial,parti blame financi loss partnership
A loan dispute arose due to disagreement on repayment terms.,Commercial,loan disput aros due disagr repay term
The victim demanded action after pollution caused strong odors near his home.,General,victim demand action pollut caus strong odor near home
A case was opened after a serious environmental safety violation affected the community.,General,case open serious environment safeti violat affect communiti
I’m looking for guidance on resolving visa problems.,General,i'm look guidanc resolv visa problem
A complaint was filed against a company accused of severe pollution affecting public health.,Commercial,complaint file compani accus sever pollut affect public health
I’m seeking help to recover my money or receive the products.,Commercial,i'm seek help recov money receiv product
I want to understand the steps for getting legal guardianship of a child.,Personal Status,want understand step get legal guardianship child
The company recalled its items due to multiple product defects.,Commercial,compani recal item due multipl product defect
The supplier sold products to competitors despite granting exclusivity rights.,Commercial,supplier sold product competitor despit grant exclus right
The user reported double charges during an online transaction.,Commercial,user report doubl charg onlin transact
The company faced financial loss as a result of internal management conflict.,Commercial,compani face financi loss result intern manag conflict
Partnership dispute — profit division disagreement after business split.,Commercial,partnership disput — profit divis disagr busi split
A customer filed a complaint after witnessing violence inside the store.,Commercial,custom file complaint wit violenc insid store
I’m seeking legal advice about reporting illegal tree removal.,General,i'm seek legal advic report illeg tree remov
The suspect was arrested for extortion after demanding payment from the victim.,General,suspect arrest extort demand payment victim
There’s an ongoing conflict between the husband and wife.,Personal Status,there ongo conflict husband wife
She filed a complaint after suffering reputation damage from false accusations.,General,file complaint suffer reput damag fals accus
The victim filed screenshots proving intimidation on social media.,General,victim file screenshot prove intimid social media
The patent owner accused the firm of producing counterfeit items.,Commercial,patent owner accus firm produc counterfeit item
The couple is involved in a legal dispute over certificate ownership.,Personal Status,coupl involv legal disput certif ownership
The family members disagreed over property distribution after death.,Personal Status,famili member disagre properti distribut death
My contractor overcharged me and didn’t finish the job properly.,Commercial,contractor overcharg didn't finish job proper
The dispute centered on ownership rights outlined in the distribution contract.,Commercial,disput center ownership right outlin distribut contract
I need to stop my neighbor from continuing the wall that’s crossing my land.,General,need stop neighbor continu wall that cross land
The franchise owner accused the company of unfair treatment and poor support.,Commercial,franchis owner accus compani unfair treatment poor support
The bank admitted to a technical error that led to the financial issue.,Commercial,bank admit technic error led financi issu
An employee reported a threat from a coworker inside the company.,Commercial,employe report threat cowork insid compani
The company failed to meet its obligations under the financial agreement.,Commercial,compani fail meet oblig financi agreement
The widow requested legal enforcement of her husband’s testament.,Personal Status,widow request legal enforc husband testament
The case involves workplace harassment and a hostile environment.,General,case involv workplac harass hostil environ
The business suffered losses due to an employee’s misuse of funds.,Commercial,busi suffer loss due employe misus fund
I want to take legal steps to get custody of my kid.,Personal Status,want take legal step get custodi kid
The manufacturer terminated the distribution contract due to repeated delays.,Commercial,manufactur termin distribut contract due repeat delay
The parents can’t agree on who should have custody after divorce,Personal Status,parent can't agre custodi divorc
I’m seeking legal advice about proving I wasn’t at fault in a collision.,General,i'm seek legal advic prove wasn't fault collis
The court reviewed a case involving human rights violations against company staff.,Commercial,court review case involv human right violat compani staff
The court ordered an audit of all family endowment properties.,Personal Status,court order audit famili endow properti
The case involves the father’s access to his children during weekends.,Personal Status,case involv father access children weekend
A dispute arose after the company used a product covered by another’s patent.,Commercial,disput aros compani use product cover anoth patent
The company filed a bankruptcy case after failing to pay its debts.,Commercial,compani file bankruptci case fail pay debt
"I lost my case in court, how to challenge the verdict.",General,lost case court challeng verdict
The heirs filed a case to resolve a property dispute within the family estate.,Personal Status,heir file case resolv properti disput within famili estat
The court reviewed a commercial case involving personal data misuse in a corporate system.,Commercial,court review commerci case involv person data misus corpor system
The patient stated that his rights were violated when treatment was denied.,General,patient state right violat treatment deni
I want a divorce,Personal Status,want divorc
My boss fired me suddenly without giving any notice.,General,boss fire sudden without give notic
The brother applied for guardianship of his incapacitated sister.,Personal Status,brother appli guardianship incapacit sister
Authorities investigated a health risk reported near the residential area.,General,author investig health risk report near residenti area
I’m in a dispute over who is liable for a recent car accident.,General,i'm disput liabl recent car accid
A dispute arose over the ownership of the family endowment property.,Personal Status,disput aros ownership famili endow properti
The tenant broke several things in the apartment and won’t take responsibility.,Commercial,tenant broke sever thing apart won't take respons
My employer didn’t follow the signed agreement.,Commercial,employ didn't follow sign agreement
The police received a report claiming human rights abuse against a citizen.,General,polic receiv report claim human right abus citizen
"Company data was stolen, and we need guidance on next steps.",Commercial,compani data stolen need guidanc next step
Authorities issued warnings to reduce pollution in crowded areas.,General,author issu warn reduc pollut crowd area
The firm reported major financial loss resulting from fraudulent transactions.,Commercial,firm report major financi loss result fraudul transact
Authorities arrested two employees involved in creating fake contracts.,Commercial,author arrest two employe involv creat fake contract
Public injury case — seeking compensation for damages.,General,public injuri case — seek compens damag
She agreed to return the dowry in exchange for khula.,Personal Status,agre return dowri exchang khula
He refused to pay alimony despite the court’s order.,Personal Status,refus pay alimoni despit court order
The company faced delivery issues affecting its operations.,Commercial,compani face deliveri issu affect oper
The landlord changed the locks and kicked me out without a court order.,Commercial,landlord chang lock kick without court order
The case concerns the legal procedures of liquidation and debt recovery.,Commercial,case concern legal procedur liquid debt recoveri
The store ignored my warranty request and won’t respond.,Commercial,store ignor warranti request won't respond
The court handled a case involving intimidation to influence a business decision.,Commercial,court handl case involv intimid influenc busi decis
filing an appeal in my case.,General,file appeal case
 I got scammed online,General,got scam onlin
My neighbor is building a wall that crosses onto my property.,General,neighbor build wall cross onto properti
I need guidance on adding unpaid utilities to the rent claim.,Commercial,need guidanc ad unpaid util rent claim
Authorities investigated a report of a physical attack near the park.,General,author investig report physic attack near park
Someone attacked me online with false accusations.,General,someon attack onlin fals accus
Consumer complaint against retailer.,Commercial,consum complaint retail
She requested the court to establish paternity and child support.,Personal Status,request court establish patern child support
The citizen demanded action to stop the ongoing environmental damage.,General,citizen demand action stop ongo environment damag
The company isn’t honoring my warranty claim for a defective product.,Commercial,compani isn't honor warranti claim defect product
Parental abduction case — child taken by parent without legal rights.,Personal Status,parent abduct case — child taken parent without legal right
A legal conflict arose over the authenticity of the deceased’s will.,Personal Status,legal conflict aros authent deceas
My husband keeps refusing to end the marriage despite the ongoing issues,Personal Status,husband keep refus end marriag despit ongo issu
The court reviewed a rental issue involving damage to the rented property.,General,court review rental issu involv damag rent properti
I’d like to know how long the adoption process takes and what laws apply.,Personal Status,i'd like know long adopt process take law appli
enforce the child support order.,Personal Status,enforc child support order
The company filed a lawsuit against a competitor for brand imitation.,Commercial,compani file lawsuit competitor brand imit
I’m taking legal steps to verify the father’s relationship to the child.,Personal Status,i'm take legal step verifi father relationship child
"I didn’t get my fair share of the profits, so I took my partner to court.",Commercial,didn't get fair share profit took partner court
She accused the suspect of invading her privacy through unauthorized recording.,General,accus suspect invad privaci unauthor record
I’m seeking legal advice about someone lying about me on social media.,General,i'm seek legal advic someon lie social media
The case involves a supplier refusing to honor contract obligations.,Commercial,case involv supplier refus honor contract oblig
A case was filed for breach of business obligation between partners.,Commercial,case file breach busi oblig partner
The person I divorced refuses to pay financial support for the children.,Personal Status,person divorc refus pay financi support children
She demanded justice after experiencing a clear human rights violation.,General,demand justic experienc clear human right violat
dispute over who keeps the children after divorce,Personal Status,disput keep children divorc
Divorce case — parties negotiating financial and custody terms.,Personal Status,divorc case — parti negoti financi custodi term
The case involves reaching a fair settlement between both spouses.,Personal Status,case involv reach fair settlement spous
The bank froze the account due to a loan dispute involving unpaid installments.,Commercial,bank froze account due loan disput involv unpaid instal
The court reviewed evidence related to a verbal threat against the victim.,General,court review evid relat verbal threat victim
The father sought custody transfer based on the child’s best interest.,Personal Status,father sought custodi transfer base child best interest
A management conflict disrupted the company’s business operations.,Commercial,manag conflict disrupt compani busi oper
The court investigated welfare concerns raised about the child’s living conditions.,Personal Status,court investig welfar concern rais child live condit
A financial crime case was filed against executives accused of embezzlement.,Commercial,financi crime case file execut accus embezzl
My husband keeps rejecting the idea of divorce despite all our issues,Personal Status,husband keep reject idea divorc despit issu
The husband denied the accuracy of the certificate presented by the wife.,Personal Status,husband deni accuraci certif present wife
The company negotiated changes to pricing and territory in the distribution contract.,Commercial,compani negoti chang price territori distribut contract
The founder’s descendants filed a complaint about violations in the endowment terms.,Personal Status,founder descend file complaint violat endow term
The case is about a faulty item bought through an online shopping website.,Commercial,case faulti item bought onlin shop websit
A child recognition case was filed to confirm parental rights.,Personal Status,child recognit case file confirm parent right
The supplier filed a complaint after discovering stolen property among delivered goods.,Commercial,supplier file complaint discov stolen properti among deliv good
challenge a court decision that I believe was unfair.,General,challeng court decis believ unfair
I was defamed on social media by someone spreading false information.,General,defam social media someon spread fals inform
Authorities appointed an administrator to oversee the insolvency process.,Commercial,author appoint administr overse insolv process
Rent dispute — landlord seeking payment from tenant.,Commercial,rent disput — landlord seek payment tenant
A khula case was submitted by the wife in the family court.,Personal Status,khula case submit wife famili court
A colleague sent false claims about me to other employees by email.,General,colleagu sent fals claim employe email
The company issued refunds to resolve customer dissatisfaction and maintain trust.,Commercial,compani issu refund resolv custom dissatisfact maintain trust
A case was opened after he received a threat to harm his family.,General,case open receiv threat harm famili
The manager was accused of embezzlement from the company’s financial accounts.,Commercial,manag accus embezzl compani financi account
the builder refused to fix poor-quality repairs.,Commercial,builder refus fix poorqual repair
The firm reported a data breach caused by unauthorized access to its servers.,Commercial,firm report data breach caus unauthor access server
The seller made a shipping mistake and won’t respond to my messages.,Commercial,seller made ship mistak won't respond messag
What can I do if someone defames me on social media?,General,someon defam social media
My husband refuses to end our marriage despite constant problems,Personal Status,husband refus end marriag despit constant problem
"There’s tax fraud happening in our business, and I’m concerned about legal consequences.",Commercial,there tax fraud happen busi i'm concern legal consequ
She asked the court to grant her custody of the children.,Personal Status,ask court grant custodi children
The child was taken across city limits without court approval.,Personal Status,child taken across citi limit without court approv
She paid a fine for parking in a restricted zone.,General,paid fine park restrict zone
Payment delays caused financial losses for the business.,Commercial,payment delay caus financi loss busi
The widow requested her legal share in the estate division.,Personal Status,widow request legal share estat divis
I need legal advice on how to get a divorce as soon as possible.,Personal Status,need legal advic get divorc soon possibl
My husband keeps saying no to divorce even though our relationship is full of problems,Personal Status,husband keep say divorc even though relationship full problem
resolve a land ownership issue with nearby residents.,General,resolv land ownership issu nearbi resid
The company faced legal action after a data breach exposed customer records.,Commercial,compani face legal action data breach expos custom record
The couple appeared in court to confirm their marriage record.,Personal Status,coupl appear court confirm marriag record
I want to take legal action against a contractor for overcharging.,Commercial,want take legal action contractor overcharg
Authorities uncovered financial deception during an internal audit.,Commercial,author uncov financi decept intern audit
The report confirmed a health risk due to improper waste disposal.,General,report confirm health risk due improp wast dispos
Can I file a claim if I was injured in a public place?,General,file claim injur public place
The company filed a complaint after receiving a threat to leak confidential data.,Commercial,compani file complaint receiv threat leak confidenti data
The patient filed a complaint after his patient rights were violated.,General,patient file complaint patient right violat
The police received multiple complaints about data protection violations online.,General,polic receiv multipl complaint data protect violat onlin
The case involves complications in completing a child adoption process.,Personal Status,case involv complic complet child adopt process
The renter keeps ignoring utility payments despite several reminders.,Commercial,renter keep ignor util payment despit sever remind
The incident involved a breach caused by inadequate data protection measures.,General,incid involv breach caus inadequ data protect measur
What should I do if the non-custodial parent takes my child?,Personal Status,noncustodi parent take child
The individual demanded an apology for the reputation damage caused.,General,individu demand apolog reput damag caus
There’s a boundary issue — my neighbor built a wall over my property line.,General,there boundari issu — neighbor built wall properti line
The audit team uncovered false documents in the company’s financial records.,Commercial,audit team uncov fals document compani financi record
Family inheritance issue — disagreement over distribution of assets.,Personal Status,famili inherit issu — disagr distribut asset
Both parents agreed to share contact rights in the child’s best interest.,Personal Status,parent agre share contact right child best interest
A financial crime case was filed against executives accused of embezzlement.,Commercial,financi crime case file execut accus embezzl
The victim filed a case after suffering physical assault by a neighbor.,General,victim file case suffer physic assault neighbor
The court reviewed the company’s failure to meet its business obligations.,Commercial,court review compani failur meet busi oblig
Parents arguing over who gets custody after the divorce,Personal Status,parent argu get custodi divorc
The couple is in conflict over the custody of their son.,Personal Status,coupl conflict custodi son
take down defamatory content about me.,General,take defamatori content
The husband delayed alimony payments for several months.,Personal Status,husband delay alimoni payment sever month
A case was opened after a hospital error led to a misdiagnosis.,General,case open hospit error led misdiagnosi
A DNA test was ordered to confirm the lineage of the minor.,Personal Status,dna test order confirm lineag minor
"The noise from the next apartment is disturbing me, and my complaints haven’t helped.",General,nois next apart disturb complaint haven't help
She demanded justice after being injured because of a hospital error.,General,demand justic injur hospit error
"The builder didn’t follow the design plan, and I’m asking for advice.",Commercial,builder didn't follow design plan i'm ask advic
The suspect admitted to selling stolen property to multiple buyers.,General,suspect admit sell stolen properti multipl buyer
The renter complained that the landlord kept the deposit unfairly.,Commercial,renter complain landlord kept deposit unfair
A case was raised to update the legal registration of the family endowment.,Personal Status,case rais updat legal registr famili endow
A commercial investigation was launched after a business violated public safety standards.,Commercial,commerci investig launch busi violat public safeti standard
I need help understanding my rights as a potential guardian.,Personal Status,need help understand right potenti guardian
Authorities opened a case involving extortion through social media.,General,author open case involv extort social media
I need legal support to complete my divorce without delay.,Personal Status,need legal support complet divorc without delay
I’m filing a complaint because my job contract was violated.,Commercial,i'm file complaint job contract violat
I’m filing a complaint because the landlord raised my rent illegally.,Commercial,i'm file complaint landlord rais rent illeg
my boss terminated me unfairly.,General,boss termin unfair
One company is suing another for not delivering the shipment on time.,Commercial,one compani su anoth deliv shipment time
Copyright dispute — unauthorized use of original work.,General,copyright disput — unauthor use origin work
Authorities issued new regulations to strengthen investor rights in the market.,Commercial,author issu new regul strengthen investor right market
The case centers on verifying the authenticity of allegedly fake contracts.,Commercial,case center verifi authent alleg fake contract
The mother is requesting financial help from the father for their children.,Personal Status,mother request financi help father children
The heirs filed a case to divide the family estate.,Personal Status,heir file case divid famili estat
I’m seeking a judgment that proves the father’s legal and biological link to the child.,Personal Status,i'm seek judgment prove father legal biolog link child
What can I do if an online seller sends me the wrong product?,Commercial,onlin seller send wrong product
What can I do if I’m a victim of identity theft?,General,i'm victim ident theft
Identity theft case — personal data used illegally.,General,ident theft case — person data use illeg
My ex and I are having trouble agreeing on how to split our property.,Personal Status,ex troubl agre split properti
The mother requested her child’s name to be added to the family identity record.,Personal Status,mother request child name ad famili ident record
Accident case — injury victim requesting payment for losses.,General,accid case — injuri victim request payment loss
I can’t find my passport while I’m outside my home country.,General,can't find passport i'm outsid home countri
The client expressed dissatisfaction with the service quality provided.,Commercial,client express dissatisfact servic qualiti provid
A legal conflict occurred between relatives over custodianship authority.,Personal Status,legal conflict occur relat custodianship author
My former spouse isn’t allowing me to see my child as agreed.,Personal Status,former spous isn't allow see child agre
A legal case has been filed due to a conflict among siblings over inherited assets.,Personal Status,legal case file due conflict among sibl inherit asset
A case was submitted to change custody from the father to the mother.,Personal Status,case submit chang custodi father mother
The case involves brand imitation and misuse of registered trademarks.,Commercial,case involv brand imit misus regist trademark
The case involves lost official documents and a request for reissuance.,General,case involv lost offici document request reissuanc
"The firm was accused of denying access to financial data, breaching investor rights.",Commercial,firm accus deni access financi data breach investor right
The court granted custodianship of the minor to the mother.,Personal Status,court grant custodianship minor mother
This case involves a delay in shipment that caused conflict between two businesses.,Commercial,case involv delay shipment caus conflict two busi
A privacy complaint was submitted due to unwanted monitoring.,General,privaci complaint submit due unwant monitor
My brothers are refusing to share the inheritance left by our parent.,Personal Status,brother refus share inherit left parent
A case was filed to confirm the authenticity of the testament.,Personal Status,case file confirm authent testament
The bank’s error led to significant financial loss for its customers.,Commercial,bank error led signific financi loss custom
A product defect was reported in the latest batch of goods.,Commercial,product defect report latest batch good
Contract dispute over software development.,Commercial,contract disput softwar develop
She received a notice for traffic violations captured by a roadside camera.,General,receiv notic traffic violat captur roadsid camera
There’s an inheritance dispute among my family over shared property.,Personal Status,there inherit disput among famili share properti
The company signed a new distribution contract with a regional supplier.,Commercial,compani sign new distribut contract region supplier
"Online seller sent wrong product, want refund.",Commercial,onlin seller sent wrong product want refund
I need legal help because my eviction wasn’t done legally.,Commercial,need legal help evict wasn't done legal
The partner company was accused of infringing on the other’s exclusivity rights.,Commercial,partner compani accus infring other exclus right
The judge suspended inheritance distribution pending the will dispute.,Personal Status,judg suspend inherit distribut pend disput
The case involves trademark infringement between two businesses.,Commercial,case involv trademark infring two busi
The company suffered financial loss due to the unresolved service dispute.,Commercial,compani suffer financi loss due unresolv servic disput
The borrower filed a case against the bank over a loan dispute.,Commercial,borrow file case bank loan disput
She demanded protection after repeated personal data misuse from anonymous accounts.,General,demand protect repeat person data misus anonym account
A dispute arose over the father’s refusal of child recognition.,Personal Status,disput aros father refus child recognit
The case involves unequal treatment and bias at my workplace.,General,case involv unequ treatment bias workplac
The mother and father are fighting for custody rights.,Personal Status,mother father fight custodi right
The other driver filed a false claim.,General,driver file fals claim
What are my options if my ex denies me visitation rights?,Personal Status,option ex deni visit right
A disagreement arose after one party violated the debt settlement terms.,Commercial,disagr aros one parti violat debt settlement term
The case involves ongoing noise disturbance and neighborhood conflict.,General,case involv ongo nois disturb neighborhood conflict
A dispute arose about missing pages from the original testament.,Personal Status,disput aros miss page origin testament
The court reviewed a service complaint filed against the maintenance provider.,Commercial,court review servic complaint file mainten provid
I was removed from my position without any warning.,General,remov posit without warn
The case involves a customer dispute over product quality and return policy.,Commercial,case involv custom disput product qualiti return polici
A customer is complaining about the terms of our service contract.,Commercial,custom complain term servic contract
My employer hasn’t helped me after I was injured during work hours.,General,employ hasn't help injur work hour
The case involves a disagreement between a homeowner and a contractor.,Commercial,case involv disagr homeown contractor
My ex-wife and I can’t agree on who should keep the kids after our divorce,Personal Status,exwif can't agre keep kid divorc
