text,label,length
fraudulent loan application,2,27
what should i do if a company refuses to honor my warranty,1,58
the firm strengthened its policies to manage business risk effectively,1,70
the case involves workplace harassment and a request for legal guidance,2,71
the case involved transferring the child to a new foster parent,0,63
the court emphasized the importance of maintaining contact rights for both parents,0,82
the investor suffered losses due to financial deception by the contractor,1,73
recover damages from a road accident,2,36
an online transaction issue caused financial loss to the customer,1,65
the supplier didn t follow the agreed conditions in our business deal,1,69
i worked in a joint business but my partner didn t give me my profit share,1,74
company refusing to deliver purchased goods,1,43
the company received multiple product complaints regarding performance issues,1,77
the company received several service complaints related to poor response time,1,77
property damage case trees illegally removed by neighbor,2,56
the father accepted paternity after the dna test results,0,56
the ex husband and ex wife are disputing custody rights,0,55
the husband revoked the divorce and informed the wife legally,0,61
neighbor built wall too far into my property,2,44
the agency evaluated her eligibility to serve as a foster parent,0,64
dispute with contractor over payment,1,36
a dispute arose during the process of business dissolution,1,58
the company terminated the franchise due to repeated policy violations,1,70
the franchisor investigated multiple complaints from franchise branches,1,71
the court reviewed a defamation case involving severe reputation damage,2,71
my landlord increased the rent without legal permission,1,55
what can i do if someone infringes on my copyright,2,50
the investigation revealed a hospital error caused by staff negligence,2,70
i want to report my landlord for refusing to maintain the property,1,66
both parties blamed each other for financial loss during the partnership,1,72
a loan dispute arose due to disagreement on repayment terms,1,59
the victim demanded action after pollution caused strong odors near his home,2,76
i m looking for guidance on resolving visa problems,2,51
i m seeking help to recover my money or receive the products,1,60
i want to understand the steps for getting legal guardianship of a child,0,72
the company recalled its items due to multiple product defects,1,62
the supplier sold products to competitors despite granting exclusivity rights,1,77
the user reported double charges during an online transaction,1,61
the company faced financial loss as a result of internal management conflict,1,76
partnership dispute profit division disagreement after business split,1,69
a customer filed a complaint after witnessing violence inside the store,1,71
i m seeking legal advice about reporting illegal tree removal,2,61
the suspect was arrested for extortion after demanding payment from the victim,2,78
there s an ongoing conflict between the husband and wife,0,56
she filed a complaint after suffering reputation damage from false accusations,2,78
the victim filed screenshots proving intimidation on social media,2,65
the patent owner accused the firm of producing counterfeit items,1,64
the couple is involved in a legal dispute over certificate ownership,0,68
the family members disagreed over property distribution after death,0,67
my contractor overcharged me and didn t finish the job properly,1,63
the dispute centered on ownership rights outlined in the distribution contract,1,78
i need to stop my neighbor from continuing the wall that s crossing my land,2,75
the franchise owner accused the company of unfair treatment and poor support,1,76
the bank admitted to a technical error that led to the financial issue,1,70
an employee reported a threat from a coworker inside the company,1,64
the company failed to meet its obligations under the financial agreement,1,72
the widow requested legal enforcement of her husband s testament,0,64
the case involves workplace harassment and a hostile environment,2,64
the business suffered losses due to an employee s misuse of funds,1,65
i want to take legal steps to get custody of my kid,0,51
the manufacturer terminated the distribution contract due to repeated delays,1,76
the parents can t agree on who should have custody after divorce,0,64
i m seeking legal advice about proving i wasn t at fault in a collision,2,71
the court reviewed a case involving human rights violations against company staff,1,81
the court ordered an audit of all family endowment properties,0,61
the case involves the father s access to his children during weekends,0,69
a dispute arose after the company used a product covered by another s patent,1,76
the company filed a bankruptcy case after failing to pay its debts,1,66
i lost my case in court how to challenge the verdict,2,52
the heirs filed a case to resolve a property dispute within the family estate,0,77
the patient stated that his rights were violated when treatment was denied,2,74
i want a divorce,0,16
my boss fired me suddenly without giving any notice,2,51
the brother applied for guardianship of his incapacitated sister,0,64
authorities investigated a health risk reported near the residential area,2,73
i m in a dispute over who is liable for a recent car accident,2,61
a dispute arose over the ownership of the family endowment property,0,67
the tenant broke several things in the apartment and won t take responsibility,1,78
my employer didn t follow the signed agreement,1,46
the police received a report claiming human rights abuse against a citizen,2,74
company data was stolen and we need guidance on next steps,1,58
authorities issued warnings to reduce pollution in crowded areas,2,64
the firm reported major financial loss resulting from fraudulent transactions,1,77
authorities arrested two employees involved in creating fake contracts,1,70
public injury case seeking compensation for damages,2,51
she agreed to return the dowry in exchange for khula,0,52
he refused to pay alimony despite the court s order,0,51
the company faced delivery issues affecting its operations,1,58
the landlord changed the locks and kicked me out without a court order,1,70
the case concerns the legal procedures of liquidation and debt recovery,1,71
the store ignored my warranty request and won t respond,1,55
the court handled a case involving intimidation to influence a business decision,1,80
filing an appeal in my case,2,27
i got scammed online,2,20
my neighbor is building a wall that crosses onto my property,2,60
i need guidance on adding unpaid utilities to the rent claim,1,60
authorities investigated a report of a physical attack near the park,2,68
someone attacked me online with false accusations,2,49
consumer complaint against retailer,1,35
she requested the court to establish paternity and child support,0,64
the citizen demanded action to stop the ongoing environmental damage,2,68
the company isn t honoring my warranty claim for a defective product,1,68
parental abduction case child taken by parent without legal rights,0,66
a legal conflict arose over the authenticity of the deceased s will,0,67
my husband keeps refusing to end the marriage despite the ongoing issues,0,72
the court reviewed a rental issue involving damage to the rented property,2,73
i d like to know how long the adoption process takes and what laws apply,0,72
enforce the child support order,0,31
the company filed a lawsuit against a competitor for brand imitation,1,68
i m taking legal steps to verify the father s relationship to the child,0,71
i didn t get my fair share of the profits so i took my partner to court,1,71
she accused the suspect of invading her privacy through unauthorized recording,2,78
i m seeking legal advice about someone lying about me on social media,2,69
the case involves a supplier refusing to honor contract obligations,1,67
a case was filed for breach of business obligation between partners,1,67
the person i divorced refuses to pay financial support for the children,0,71
she demanded justice after experiencing a clear human rights violation,2,70
dispute over who keeps the children after divorce,0,49
divorce case parties negotiating financial and custody terms,0,60
the case involves reaching a fair settlement between both spouses,0,65
the bank froze the account due to a loan dispute involving unpaid installments,1,78
the court reviewed evidence related to a verbal threat against the victim,2,73
the father sought custody transfer based on the child s best interest,0,69
a management conflict disrupted the company s business operations,1,65
the court investigated welfare concerns raised about the child s living conditions,0,82
a financial crime case was filed against executives accused of embezzlement,1,75
my husband keeps rejecting the idea of divorce despite all our issues,0,69
the husband denied the accuracy of the certificate presented by the wife,0,72
the founder s descendants filed a complaint about violations in the endowment terms,0,83
the case is about a faulty item bought through an online shopping website,1,73
a child recognition case was filed to confirm parental rights,0,61
challenge a court decision that i believe was unfair,2,52
i was defamed on social media by someone spreading false information,2,68
authorities appointed an administrator to oversee the insolvency process,1,72
rent dispute landlord seeking payment from tenant,1,49
a khula case was submitted by the wife in the family court,0,58
a colleague sent false claims about me to other employees by email,2,66
the company issued refunds to resolve customer dissatisfaction and maintain trust,1,81
a case was opened after he received a threat to harm his family,2,63
the manager was accused of embezzlement from the company s financial accounts,1,77
the builder refused to fix poor quality repairs,1,47
the firm reported a data breach caused by unauthorized access to its servers,1,76
the seller made a shipping mistake and won t respond to my messages,1,67
what can i do if someone defames me on social media,2,51
my husband refuses to end our marriage despite constant problems,0,64
she asked the court to grant her custody of the children,0,56
the child was taken across city limits without court approval,0,61
she paid a fine for parking in a restricted zone,2,48
payment delays caused financial losses for the business,1,55
the widow requested her legal share in the estate division,0,58
i need legal advice on how to get a divorce as soon as possible,0,63
resolve a land ownership issue with nearby residents,2,52
the company faced legal action after a data breach exposed customer records,1,75
the couple appeared in court to confirm their marriage record,0,61
i want to take legal action against a contractor for overcharging,1,65
authorities uncovered financial deception during an internal audit,1,66
the report confirmed a health risk due to improper waste disposal,2,65
can i file a claim if i was injured in a public place,2,53
the company filed a complaint after receiving a threat to leak confidential data,1,80
the patient filed a complaint after his patient rights were violated,2,68
the police received multiple complaints about data protection violations online,2,79
the case involves complications in completing a child adoption process,0,70
the renter keeps ignoring utility payments despite several reminders,1,68
the incident involved a breach caused by inadequate data protection measures,2,76
what should i do if the non custodial parent takes my child,0,59
the individual demanded an apology for the reputation damage caused,2,67
there s a boundary issue my neighbor built a wall over my property line,2,71
the audit team uncovered false documents in the company s financial records,1,75
family inheritance issue disagreement over distribution of assets,0,65
both parents agreed to share contact rights in the child s best interest,0,72
the victim filed a case after suffering physical assault by a neighbor,2,70
the court reviewed the company s failure to meet its business obligations,1,73
parents arguing over who gets custody after the divorce,0,55
the couple is in conflict over the custody of their son,0,55
take down defamatory content about me,2,37
the husband delayed alimony payments for several months,0,55
a case was opened after a hospital error led to a misdiagnosis,2,62
a dna test was ordered to confirm the lineage of the minor,0,58
the noise from the next apartment is disturbing me and my complaints haven t helped,2,83
she demanded justice after being injured because of a hospital error,2,68
the builder didn t follow the design plan and i m asking for advice,1,67
the suspect admitted to selling stolen property to multiple buyers,2,66
the renter complained that the landlord kept the deposit unfairly,1,65
a case was raised to update the legal registration of the family endowment,0,74
i need help understanding my rights as a potential guardian,0,59
authorities opened a case involving extortion through social media,2,66
i need legal support to complete my divorce without delay,0,57
i m filing a complaint because my job contract was violated,1,59
i m filing a complaint because the landlord raised my rent illegally,1,68
my boss terminated me unfairly,2,30
one company is suing another for not delivering the shipment on time,1,68
copyright dispute unauthorized use of original work,2,51
authorities issued new regulations to strengthen investor rights in the market,1,78
the case centers on verifying the authenticity of allegedly fake contracts,1,74
the mother is requesting financial help from the father for their children,0,74
the heirs filed a case to divide the family estate,0,50
what can i do if an online seller sends me the wrong product,1,60
what can i do if i m a victim of identity theft,2,47
identity theft case personal data used illegally,2,48
my ex and i are having trouble agreeing on how to split our property,0,68
the mother requested her child s name to be added to the family identity record,0,79
accident case injury victim requesting payment for losses,2,57
i can t find my passport while i m outside my home country,2,58
the client expressed dissatisfaction with the service quality provided,1,70
a legal conflict occurred between relatives over custodianship authority,0,72
my former spouse isn t allowing me to see my child as agreed,0,60
a legal case has been filed due to a conflict among siblings over inherited assets,0,82
a case was submitted to change custody from the father to the mother,0,68
the case involves brand imitation and misuse of registered trademarks,1,69
the case involves lost official documents and a request for reissuance,2,70
the firm was accused of denying access to financial data breaching investor rights,1,82
the court granted custodianship of the minor to the mother,0,58
this case involves a delay in shipment that caused conflict between two businesses,1,82
a privacy complaint was submitted due to unwanted monitoring,2,60
my brothers are refusing to share the inheritance left by our parent,0,68
a case was filed to confirm the authenticity of the testament,0,61
the bank s error led to significant financial loss for its customers,1,68
a product defect was reported in the latest batch of goods,1,58
contract dispute over software development,1,42
she received a notice for traffic violations captured by a roadside camera,2,74
there s an inheritance dispute among my family over shared property,0,67
the company signed a new distribution contract with a regional supplier,1,71
online seller sent wrong product want refund,1,44
i need legal help because my eviction wasn t done legally,1,57
the partner company was accused of infringing on the other s exclusivity rights,1,79
the judge suspended inheritance distribution pending the will dispute,0,69
the case involves trademark infringement between two businesses,1,63
the company suffered financial loss due to the unresolved service dispute,1,73
the borrower filed a case against the bank over a loan dispute,1,62
she demanded protection after repeated personal data misuse from anonymous accounts,2,83
a dispute arose over the father s refusal of child recognition,0,62
the case involves unequal treatment and bias at my workplace,2,60
the mother and father are fighting for custody rights,0,53
the other driver filed a false claim,2,36
what are my options if my ex denies me visitation rights,0,56
a disagreement arose after one party violated the debt settlement terms,1,71
the case involves ongoing noise disturbance and neighborhood conflict,2,69
a dispute arose about missing pages from the original testament,0,63
the court reviewed a service complaint filed against the maintenance provider,1,77
i was removed from my position without any warning,2,50
the case involves a customer dispute over product quality and return policy,1,75
a customer is complaining about the terms of our service contract,1,65
my employer hasn t helped me after i was injured during work hours,2,66
the case involves a disagreement between a homeowner and a contractor,1,69
my ex wife and i can t agree on who should keep the kids after our divorce,0,74
harassment issue at work seeking legal protection and guidance,2,62
my credit report shows a loan i didn t take out,2,47
the court ordered a dna test in the ongoing paternity case,0,58
the case is about unpaid freelance services i completed,1,55
i m fighting with my ex husband over who gets custody of our children,0,69
i need legal help to make the other parent pay child support,0,60
need guidance on child custody,0,30
what should i do to make sure my will is legally valid,0,54
my landlord shut off utilities and threatened eviction illegally,1,64
the court reviewed commercial traffic violations involving a company owned truck,1,80
the case involves online fraud where i lost money to a fake seller,2,66
the consultant was hired to evaluate potential business risks before expansion,1,78
i m seeking advice on how to report an internet related crime,2,61
car repair shop refuses to fix the issue under warranty,1,55
a shareholder meeting was called to discuss the company s financial losses,1,74
the man denied being part of the claimed family identity,0,56
my car was damaged but the insurance company won t cover it,2,59
i was deceived by an online seller,2,34
the court reviewed a case involving public safety risks caused by a private company,1,83
the case involves harmful statements made about me on social media,2,66
trouble with visa approval,2,26
the private hospital faced legal action for a hospital error that harmed a patient,1,82
the community raised concerns about environmental damage near their homes,2,73
she claimed she experienced assault during a heated argument,2,60
authorities reviewed a case involving serious violations of patient rights,2,74
the firm requested the court s intervention in resolving the payment issue,1,74
the foster parent sought financial assistance for child care expenses,0,69
what can i do if someone claims my copyrighted music as theirs,2,62
the designer claimed ownership of the intellectual property in question,1,71
i m interested in adoption and want to understand the required steps,0,68
can i press charges if my bike was stolen from the neighborhood,2,63
i m asking for advice about filing a consumer protection claim,1,62
a dispute arose regarding the scope of business obligations in the agreement,1,76
a dispute arose after one business copied another s brand name and logo,1,71
my social media was compromised,2,31
the wife demanded annulment stating the marriage violated legal rules,0,69
investors warned about increasing business risk in the new project,1,66
a commercial complaint was filed after a medical center breached patient rights,1,79
lost passport situation traveler needs advice on reporting and replacement,2,74
a major data breach occurred in a commercial database storing client information,1,80
he requested the court to annul the marriage contract,0,53
my landlord is trying to force me out,2,37
adoption case problems with documents and legal requirements,0,60
legal action against cyberbullying,2,34
creditors submitted claims in the ongoing bankruptcy case,1,57
a case was filed after the victim suffered violence from an unknown person,2,74
i want to take action against a fraudulent seller who stole my money,1,68
how to handle an employee harassment complaint,2,46
the victim filed a complaint about a health risk near his home,2,62
i want to know what documents and legal steps are needed for adoption,0,69
i got into an accident and the other driver denies responsibility for the damages,2,81
a case was filed to validate reconciliation after divorce,0,57
a legal dispute arose due to unfair profit sharing in a partnership,1,67
she submitted documents to verify her marital status,0,52
a case was filed due to serious welfare concerns for the children,0,65
the trustee was accused of misusing the family endowment funds,0,62
the court ruled that the incapacitated person required full time supervision,0,76
i want to know how to make a fair divorce agreement legally binding,0,67
a case was opened to withdraw custody from the father,0,53
the siblings are arguing about how to divide their parents estate,0,65
the court opened the testament to review the inheritance instructions,0,69
i want to create a will and need help understanding the legal steps,0,67
the case involves an unfair termination without proper notice,2,61
i have problems with my husband so i want a divorce,0,51
the court handled a commercial dispute involving assault in the workplace,1,73
i want to file for compensation for an injury that happened at work,2,67
my former spouse took our child and refuses to return them,0,58
the artist accused the company of copyright infringement,1,56
a case was opened regarding an injury claim following a physical attack,2,71
the dispute centered around authority and decision making within management,1,75
i m filing a complaint because i wasn t paid for my freelance project,1,69
welfare concerns were raised after reports of neglect and poor supervision,0,74
the mother denied the father s right to visit the children,0,58
a legal case was filed regarding the unauthorized sale of a franchise license,1,77
the case involves property division following a divorce,0,55
warranty dispute company failed to meet service agreement,1,57
the client delayed payment for three months leading to a legal complaint,1,72
i m seeking legal advice about enforcing a software project agreement,1,69
a case was filed after evidence of financial deception was discovered,1,69
he filed an injury claim after suffering injuries during a neighborhood dispute,2,79
security footage showed a physical attack inside the workplace,1,62
the case involves reputation damage caused by false statements in public,2,72
the case involves inappropriate behavior and workplace harassment,2,65
i experienced harassment while using public transport,2,53
the shareholders decided on business dissolution following bankruptcy,1,69
i was hurt while working and the company hasn t covered my expenses,2,67
the court reviewed a complaint involving fraud in an e commerce transaction,1,75
the customer filed a complaint after an online transaction failed,1,65
the victim presented screenshots proving extortion attempts online,2,66
the audit revealed several fake contracts in the company s financial records,1,76
the company received multiple complaints due to customer dissatisfaction,1,72
the case focused on addressing welfare concerns in the child s environment,0,74
a dispute arose regarding the repayment of the dowry,0,52
i want to know the best way to respond to a customer s contract complaint,1,73
the family requested protection of the rights of their incapacitated relative,0,77
the mother appealed against the withdrawal of her custody rights,0,64
i m taking legal action to make the father pay for his children s expenses,0,74
the liquidation process began to sell company assets and repay debts,1,68
my ex and i are discussing property and financial terms after divorce,0,69
what should i do if my business partner hides revenue from the tax authorities,1,78
i m planning to go through mediation and want to understand the process,0,71
the court handled a commercial dispute involving a physical attack during a meeting,1,83
the court reviewed medical reports in the paternity case,0,56
i m planning to open a new business and need advice on the registration process,1,79
the driver who hit me doesn t have insurance,2,44
i need help understanding court rules for child custody,0,55
i lost my passport while traveling abroad,2,41
the court handled an intellectual property dispute between two tech firms,1,73
the case involves a dispute over joint profits following business closure,1,73
authorities investigated allegations of commercial fraud in the firm s transactions,1,83
which authority handles public land violations,2,46
i was in a car accident who should pay for the damages,2,54
i want to report trademark misuse affecting my business reputation,1,66
my package contained the wrong item and the seller won t fix it,1,63
the minority shareholder claimed his voting rights were violated,1,64
i m looking for advice on how to enforce a warranty claim legally,1,65
the inventor filed a case to protect his patent rights,1,54
defamation case against a social media user,2,43
the court reviewed evidence of an assault captured on camera,2,60
i need legal help to deal with workplace defamation through internal messages,2,77
a case was opened regarding the hospital s failure to respect patient rights,2,76
the partners are in conflict about how to split the company s earnings,1,70
i need legal help because my business partner broke our agreement,1,65
the shareholders held an emergency meeting to address potential insolvency,1,74
the court ruled in favor of the wife s alimony claim,0,52
the company terminated my contract without any valid reason,1,59
the tenant took the landlord to court for holding the deposit without reason,1,76
the tenant is avoiding payments for water and electricity and i want to act,1,75
client refusing to sign even though we already agreed on everything,1,67
the case involves a disagreement over custody and visitation arrangements,0,73
my visa application keeps getting delayed,2,41
what are my options if my ex partner refuses to share business profits,1,70
the case involves a partnership dispute due to contract violation,1,65
the dispute centered on proving the child s legal family identity,0,65
she claimed she was a victim of extortion by an unknown caller,2,62
someone posted false information about me online can i take legal action,2,72
the court investigated claims of financial deception and document forgery,1,73
a case was raised to confirm the marriage contract,0,50
a case was reported after pollution contaminated the local water supply,2,71
what should i do if an employee steals company property,1,55
the court reviewed a complaint concerning delivery issues between two companies,1,79
both parents claimed they acted in the best interest of their child,0,67
the eviction happened without legal approval and i want advice,1,62
she claimed that the data breach exposed her confidential information,2,69
the incident involved a data breach that affected hundreds of users,2,67
the company faced a bank issue after a failed international transfer,1,68
i lost my job suddenly and the company didn t follow proper procedure,1,69
the firm requested termination of the financial agreement after repeated delays,1,79
residents filed a complaint after noticing a threat to public safety in their area,2,82
my ex hasn t paid any support for months and i don t know what to do,0,68
what can i do if my landlord evicted me without notice,1,54
the client failed to settle the payment as agreed in the contract,1,65
the case involves disagreement among heirs about family assets,0,62
the case is about a property boundary dispute between two neighbors,2,67
a petition was filed to transfer custody following the mother s remarriage,0,74
the buyer denied signing the fake contract submitted as evidence,1,64
employee theft of company property,1,34
i want to make sure my business registration follows all legal requirements,1,75
i m asking for legal advice because my ex wants full custody of our teen,0,72
i m seeking legal advice about enforcing a warranty claim,1,57
the husband filed for annulment claiming the marriage was forced,0,64
i want to recover my rightful share of income from the dissolved company,1,72
the company reported a theft of expensive equipment from its warehouse,1,70
employee misusing company funds,1,31
fraudulent transaction in my bank account,2,41
the victim claimed emotional and physical damage from a serious hospital error,2,78
there was a disagreement over the dowry refund between the couple,0,65
an employee stole company property and i want to take legal action,1,66
authorities investigated the bank issue following multiple customer complaints,1,78
prove liability in a vehicle accident case,2,42
he was fined for traffic violations including speeding and running a red light,2,78
the wife filed for khula to end the marriage,0,44
i m seeking legal advice about a copyright dispute involving my song,2,68
someone defamed me online what are my legal options,2,51
the judge emphasized that the child s interest comes first,0,58
ongoing conflict regarding child custody post divorce,0,53
i think someone stole my identity and used my personal information,2,66
i need legal help because my landlord raised the rent without any notice,1,72
the case involves a partner committing tax evasion by hiding revenue,1,68
the company faced penalties for creating a public safety hazard near the facility,1,81
someone is using my copyrighted images online,2,45
what should i do if a customer complains about a service contract,1,65
what are my options in a custody dispute over a teenage child,0,61
illegal construction in public area,2,35
the report confirmed major public safety concerns caused by poor maintenance,2,76
security cameras captured an employee hiding stolen property from the store,1,75
neighbor property dispute need guidance to protect my land rights,2,65
the report showed several driving offenses committed on the same day,2,68
business partner breach of contract,1,35
the issue is about financial liability after a traffic accident,2,63
she reported a marital conflict caused by constant disagreements,0,64
my accident claim was denied,2,28
online defamation case,2,22
the driver received a fine for speeding in a residential area,2,61
the patient filed a complaint after suffering complications due to a hospital error,2,83
family inheritance case dispute over estate distribution,0,56
company breached employment agreement,1,37
the heirs reached a settlement regarding estate division and inheritance rights,0,79
what are my options if my neighbors claim part of my property,2,61
i was denied promotion due to discrimination at work,2,52
i m seeking legal advice about dividing profits after partnership termination,1,77
i was injured at work and want to claim compensation,2,52
family inheritance issue disagreement about distribution of assets,0,66
the case focused on ensuring financial and emotional support for orphan care,0,76
i m filing a harassment claim against my supervisor at work,2,59
custody is the issue after we divorce,0,37
i filed a complaint because my partner wasn t transparent about our finances,0,76
she filed a case to confirm the revocation of the divorce,0,57
the company filed a rental issue claim regarding a commercial shop lease,1,72
the employee is suing the company for ending the contract without reason,1,72
my official legal papers are lost and i m not sure what to do next,2,66
the retailer was accused of promoting products using a fake brand identity,1,74
the fashion company accused a local store of brand imitation,1,60
the case is about a spouse who refused to show all their financial information,0,78
negotiations failed to resolve the ongoing supplier dispute,1,59
can i take legal action if a client refuses to sign the contract after agreement,1,80
the seller took my payment but didn t send the items,1,52
what is rights regarding financial assets after the divorce,0,59
my ex keeps changing the visitation times and refusing access,0,61
custody was withdrawn after proof of poor living conditions,0,59
the company filed a lawsuit for reputation damage caused by false reviews,1,73
the husband requested the court to record the revocation officially,0,67
the consumer demanded a refund following an unresolved service complaint,1,72
a renter took legal action after the landlord kept the security money,1,69
both parties signed a legal document confirming the debt settlement,1,67
my former partner and i can t agree on how to split the earnings,1,64
i think my spouse is secretly moving assets to avoid sharing them in the divorce,0,80
the case is about getting professional advice before registering a new company,1,78
breach of contract by my employer,1,33
fraudulent online marketplace seller,1,36
i need legal advice after being harassed in a public transportation area,2,72
a woman filed to become the legal guardian under the orphan care system,0,71
the company managing the clinic was accused of ignoring patient rights policies,1,79
what are my options if i have a payment dispute with a contractor,1,65
the property division is causing conflict between us,0,52
what should i do if i see a fraudulent transaction in my account,2,64
authorities investigated a cyber privacy breach involving leaked personal messages,2,82
authorities investigated pollution caused by burning waste in a public area,2,75
clear my name after being wrongly blamed for theft in a store,2,61
the supplier refused to fulfill the remaining part of the contract,1,66
what should i do if someone defamed me on social media,2,54
the wife decided to proceed with khula under islamic law,0,56
a dispute arose due to non payment for delivered goods,1,54
the store staff wrongly accused me of taking something without paying,2,69
my creative work was used illegally and i need legal help,2,57
a theft happened in my area and my bicycle was taken,2,52
the individual demanded justice after experiencing a violation of patient rights,2,80
the police received multiple complaints about environmental safety hazards nearby,2,81
a commercial dispute arose involving stolen property sold to a retailer,1,71
dispute over inheritance from deceased parent,0,45
my tenant damaged the property and refuses to pay for the repairs,1,65
my product is still under warranty yet the company won t fix it,1,63
the investigation revealed major environmental safety breaches affecting residents,2,82
the borrower negotiated a debt settlement to avoid bankruptcy,1,61
what should i do if i want custody of my child,0,46
a petition for insolvency was filed by the firm s main lender,1,61
the family applied for legal custody to provide orphan care,0,59
the inheritance dispute has caused conflict between siblings,0,60
a case was filed regarding privacy concerns in a neighborhood incident,2,70
custody of my boys,0,18
my account was charged without my consent,2,41
the company failed to fulfill its business obligations under the contract,1,73
need help creating a will and making it official,0,48
what are my options if my supplier breaks the contract terms,1,60
the wife wants to obtain a khula due to marital issues,0,54
the police received multiple complaints regarding a large data breach,2,69
the manufacturer issued a recall after an increase in product complaints,1,72
the bank launched an investigation into suspicious online transactions,1,70
a complaint was filed against the manufacturer over a product defect,1,68
there was a conflict about the issuance of an official divorce certificate,0,74
the supplier was accused of presenting fake contracts to obtain payment,1,71
