Case Description,Category,label
My coworker has been harassing me.,General,2
workplace discrimination issue.,General,2
The case concerns a commercial dispute between the company and its supplier.,Commercial,1
The husband sued his wife for not returning the dowry.,Personal Status,0
I’m having a dispute with my ex about visitation rights for our child.,Personal Status,0
The shareholder demanded access to the company’s financial records.,Commercial,1
The court reviewed evidence of malpractice committed by a licensed professional.,General,2
I’m looking for help preparing an official cybercrime report.,General,2
A legal case was filed to enforce the signed financial agreement.,Commercial,1
The incident involved a breach of privacy that affected several individuals.,General,2
A business partner was accused of assault during a contract meeting.,Commercial,1
Residents filed a complaint about environmental safety concerns in the neighborhood.,General,2
A lawsuit was filed because the landlord failed to pay back the deposit money.,Commercial,1
I want to understand how to negotiate custody and asset division properly.,Personal Status,0
I want a divorce from my husband,Personal Status,0
The case concerns ownership and misuse of a patented design.,Commercial,1
The case involves a physical attack that resulted in serious harm.,General,2
I’m asking for help understanding the steps involved in divorce mediation.,Personal Status,0
The case involves an unlawful eviction by a property owner.,Commercial,1
I filed a lawsuit to legally establish who the child’s father is.,Personal Status,0
The court reviewed documents related to the registered family endowment.,Personal Status,0
I’m having an insurance dispute after a recent car accident.,General,2
A paternity case was submitted to confirm the child’s legal father.,Personal Status,0
I was tricked in an online deal and need help reporting it.,General,2
I’m asking for legal advice about privacy violations involving my images.,General,2
The case involves harassment and violation of tenant rights.,Commercial,1
"The situation has escalated, and I’m thinking about taking legal action.",General,2
Fraudulent loan application.,General,2
What should I do if a company refuses to honor my warranty?,Commercial,1
The firm strengthened its policies to manage business risk effectively.,Commercial,1
The case involves workplace harassment and a request for legal guidance.,General,2
This case involves a dispute over a security deposit not refunded after the lease ended.,Commercial,1
The case involved transferring the child to a new foster parent.,Personal Status,0
The court emphasized the importance of maintaining contact rights for both parents.,Personal Status,0
The investor suffered losses due to financial deception by the contractor.,Commercial,1
recover damages from a road accident.,General,2
An online transaction issue caused financial loss to the customer.,Commercial,1
The supplier didn’t follow the agreed conditions in our business deal.,Commercial,1
"I worked in a joint business, but my partner didn’t give me my profit share.",Commercial,1
Company refusing to deliver purchased goods.,Commercial,1
The company received multiple product complaints regarding performance issues.,Commercial,1
The company received several service complaints related to poor response time.,Commercial,1
Property damage case — trees illegally removed by neighbor.,General,2
The father accepted paternity after the DNA test results.,Personal Status,0
The ex-husband and ex-wife are disputing custody rights,Personal Status,0
The husband revoked the divorce and informed the wife legally.,Personal Status,0
Neighbor built wall too far into my property.,General,2
The agency evaluated her eligibility to serve as a foster parent.,Personal Status,0
Dispute with contractor over payment.,Commercial,1
A dispute arose during the process of business dissolution.,Commercial,1
The company terminated the franchise due to repeated policy violations.,Commercial,1
The franchisor investigated multiple complaints from franchise branches.,Commercial,1
The court reviewed a defamation case involving severe reputation damage.,General,2
My landlord increased the rent without legal permission.,Commercial,1
What can I do if someone infringes on my copyright?,General,2
The investigation revealed a hospital error caused by staff negligence.,General,2
I want to report my landlord for refusing to maintain the property.,Commercial,1
Both parties blamed each other for financial loss during the partnership.,Commercial,1
A loan dispute arose due to disagreement on repayment terms.,Commercial,1
The victim demanded action after pollution caused strong odors near his home.,General,2
A case was opened after a serious environmental safety violation affected the community.,General,2
I’m looking for guidance on resolving visa problems.,General,2
A complaint was filed against a company accused of severe pollution affecting public health.,Commercial,1
I’m seeking help to recover my money or receive the products.,Commercial,1
I want to understand the steps for getting legal guardianship of a child.,Personal Status,0
The company recalled its items due to multiple product defects.,Commercial,1
The supplier sold products to competitors despite granting exclusivity rights.,Commercial,1
The user reported double charges during an online transaction.,Commercial,1
The company faced financial loss as a result of internal management conflict.,Commercial,1
Partnership dispute — profit division disagreement after business split.,Commercial,1
A customer filed a complaint after witnessing violence inside the store.,Commercial,1
I’m seeking legal advice about reporting illegal tree removal.,General,2
The suspect was arrested for extortion after demanding payment from the victim.,General,2
There’s an ongoing conflict between the husband and wife.,Personal Status,0
She filed a complaint after suffering reputation damage from false accusations.,General,2
The victim filed screenshots proving intimidation on social media.,General,2
The patent owner accused the firm of producing counterfeit items.,Commercial,1
The couple is involved in a legal dispute over certificate ownership.,Personal Status,0
The family members disagreed over property distribution after death.,Personal Status,0
My contractor overcharged me and didn’t finish the job properly.,Commercial,1
The dispute centered on ownership rights outlined in the distribution contract.,Commercial,1
I need to stop my neighbor from continuing the wall that’s crossing my land.,General,2
The franchise owner accused the company of unfair treatment and poor support.,Commercial,1
The bank admitted to a technical error that led to the financial issue.,Commercial,1
An employee reported a threat from a coworker inside the company.,Commercial,1
The company failed to meet its obligations under the financial agreement.,Commercial,1
The widow requested legal enforcement of her husband’s testament.,Personal Status,0
The case involves workplace harassment and a hostile environment.,General,2
The business suffered losses due to an employee’s misuse of funds.,Commercial,1
I want to take legal steps to get custody of my kid.,Personal Status,0
The manufacturer terminated the distribution contract due to repeated delays.,Commercial,1
The parents can’t agree on who should have custody after divorce,Personal Status,0
I’m seeking legal advice about proving I wasn’t at fault in a collision.,General,2
The court reviewed a case involving human rights violations against company staff.,Commercial,1
The court ordered an audit of all family endowment properties.,Personal Status,0
The case involves the father’s access to his children during weekends.,Personal Status,0
A dispute arose after the company used a product covered by another’s patent.,Commercial,1
The company filed a bankruptcy case after failing to pay its debts.,Commercial,1
"I lost my case in court, how to challenge the verdict.",General,2
The heirs filed a case to resolve a property dispute within the family estate.,Personal Status,0
The court reviewed a commercial case involving personal data misuse in a corporate system.,Commercial,1
The patient stated that his rights were violated when treatment was denied.,General,2
I want a divorce,Personal Status,0
My boss fired me suddenly without giving any notice.,General,2
The brother applied for guardianship of his incapacitated sister.,Personal Status,0
Authorities investigated a health risk reported near the residential area.,General,2
I’m in a dispute over who is liable for a recent car accident.,General,2
A dispute arose over the ownership of the family endowment property.,Personal Status,0
The tenant broke several things in the apartment and won’t take responsibility.,Commercial,1
My employer didn’t follow the signed agreement.,Commercial,1
The police received a report claiming human rights abuse against a citizen.,General,2
"Company data was stolen, and we need guidance on next steps.",Commercial,1
Authorities issued warnings to reduce pollution in crowded areas.,General,2
The firm reported major financial loss resulting from fraudulent transactions.,Commercial,1
Authorities arrested two employees involved in creating fake contracts.,Commercial,1
Public injury case — seeking compensation for damages.,General,2
She agreed to return the dowry in exchange for khula.,Personal Status,0
He refused to pay alimony despite the court’s order.,Personal Status,0
The company faced delivery issues affecting its operations.,Commercial,1
The landlord changed the locks and kicked me out without a court order.,Commercial,1
The case concerns the legal procedures of liquidation and debt recovery.,Commercial,1
The store ignored my warranty request and won’t respond.,Commercial,1
The court handled a case involving intimidation to influence a business decision.,Commercial,1
filing an appeal in my case.,General,2
 I got scammed online,General,2
My neighbor is building a wall that crosses onto my property.,General,2
I need guidance on adding unpaid utilities to the rent claim.,Commercial,1
Authorities investigated a report of a physical attack near the park.,General,2
Someone attacked me online with false accusations.,General,2
Consumer complaint against retailer.,Commercial,1
She requested the court to establish paternity and child support.,Personal Status,0
The citizen demanded action to stop the ongoing environmental damage.,General,2
The company isn’t honoring my warranty claim for a defective product.,Commercial,1
Parental abduction case — child taken by parent without legal rights.,Personal Status,0
A legal conflict arose over the authenticity of the deceased’s will.,Personal Status,0
My husband keeps refusing to end the marriage despite the ongoing issues,Personal Status,0
The court reviewed a rental issue involving damage to the rented property.,General,2
I’d like to know how long the adoption process takes and what laws apply.,Personal Status,0
enforce the child support order.,Personal Status,0
The company filed a lawsuit against a competitor for brand imitation.,Commercial,1
I’m taking legal steps to verify the father’s relationship to the child.,Personal Status,0
"I didn’t get my fair share of the profits, so I took my partner to court.",Commercial,1
She accused the suspect of invading her privacy through unauthorized recording.,General,2
I’m seeking legal advice about someone lying about me on social media.,General,2
The case involves a supplier refusing to honor contract obligations.,Commercial,1
A case was filed for breach of business obligation between partners.,Commercial,1
The person I divorced refuses to pay financial support for the children.,Personal Status,0
She demanded justice after experiencing a clear human rights violation.,General,2
dispute over who keeps the children after divorce,Personal Status,0
Divorce case — parties negotiating financial and custody terms.,Personal Status,0
The case involves reaching a fair settlement between both spouses.,Personal Status,0
The bank froze the account due to a loan dispute involving unpaid installments.,Commercial,1
The court reviewed evidence related to a verbal threat against the victim.,General,2
The father sought custody transfer based on the child’s best interest.,Personal Status,0
A management conflict disrupted the company’s business operations.,Commercial,1
The court investigated welfare concerns raised about the child’s living conditions.,Personal Status,0
A financial crime case was filed against executives accused of embezzlement.,Commercial,1
My husband keeps rejecting the idea of divorce despite all our issues,Personal Status,0
The husband denied the accuracy of the certificate presented by the wife.,Personal Status,0
The company negotiated changes to pricing and territory in the distribution contract.,Commercial,1
The founder’s descendants filed a complaint about violations in the endowment terms.,Personal Status,0
The case is about a faulty item bought through an online shopping website.,Commercial,1
A child recognition case was filed to confirm parental rights.,Personal Status,0
The supplier filed a complaint after discovering stolen property among delivered goods.,Commercial,1
challenge a court decision that I believe was unfair.,General,2
I was defamed on social media by someone spreading false information.,General,2
Authorities appointed an administrator to oversee the insolvency process.,Commercial,1
Rent dispute — landlord seeking payment from tenant.,Commercial,1
A khula case was submitted by the wife in the family court.,Personal Status,0
A colleague sent false claims about me to other employees by email.,General,2
The company issued refunds to resolve customer dissatisfaction and maintain trust.,Commercial,1
A case was opened after he received a threat to harm his family.,General,2
The manager was accused of embezzlement from the company’s financial accounts.,Commercial,1
the builder refused to fix poor-quality repairs.,Commercial,1
The firm reported a data breach caused by unauthorized access to its servers.,Commercial,1
The seller made a shipping mistake and won’t respond to my messages.,Commercial,1
What can I do if someone defames me on social media?,General,2
My husband refuses to end our marriage despite constant problems,Personal Status,0
"There’s tax fraud happening in our business, and I’m concerned about legal consequences.",Commercial,1
She asked the court to grant her custody of the children.,Personal Status,0
The child was taken across city limits without court approval.,Personal Status,0
She paid a fine for parking in a restricted zone.,General,2
Payment delays caused financial losses for the business.,Commercial,1
The widow requested her legal share in the estate division.,Personal Status,0
I need legal advice on how to get a divorce as soon as possible.,Personal Status,0
My husband keeps saying no to divorce even though our relationship is full of problems,Personal Status,0
resolve a land ownership issue with nearby residents.,General,2
The company faced legal action after a data breach exposed customer records.,Commercial,1
The couple appeared in court to confirm their marriage record.,Personal Status,0
I want to take legal action against a contractor for overcharging.,Commercial,1
Authorities uncovered financial deception during an internal audit.,Commercial,1
The report confirmed a health risk due to improper waste disposal.,General,2
Can I file a claim if I was injured in a public place?,General,2
The company filed a complaint after receiving a threat to leak confidential data.,Commercial,1
The patient filed a complaint after his patient rights were violated.,General,2
The police received multiple complaints about data protection violations online.,General,2
The case involves complications in completing a child adoption process.,Personal Status,0
The renter keeps ignoring utility payments despite several reminders.,Commercial,1
The incident involved a breach caused by inadequate data protection measures.,General,2
What should I do if the non-custodial parent takes my child?,Personal Status,0
The individual demanded an apology for the reputation damage caused.,General,2
There’s a boundary issue — my neighbor built a wall over my property line.,General,2
The audit team uncovered false documents in the company’s financial records.,Commercial,1
Family inheritance issue — disagreement over distribution of assets.,Personal Status,0
Both parents agreed to share contact rights in the child’s best interest.,Personal Status,0
A financial crime case was filed against executives accused of embezzlement.,Commercial,1
The victim filed a case after suffering physical assault by a neighbor.,General,2
The court reviewed the company’s failure to meet its business obligations.,Commercial,1
Parents arguing over who gets custody after the divorce,Personal Status,0
The couple is in conflict over the custody of their son.,Personal Status,0
take down defamatory content about me.,General,2
The husband delayed alimony payments for several months.,Personal Status,0
A case was opened after a hospital error led to a misdiagnosis.,General,2
A DNA test was ordered to confirm the lineage of the minor.,Personal Status,0
"The noise from the next apartment is disturbing me, and my complaints haven’t helped.",General,2
She demanded justice after being injured because of a hospital error.,General,2
"The builder didn’t follow the design plan, and I’m asking for advice.",Commercial,1
The suspect admitted to selling stolen property to multiple buyers.,General,2
The renter complained that the landlord kept the deposit unfairly.,Commercial,1
A case was raised to update the legal registration of the family endowment.,Personal Status,0
A commercial investigation was launched after a business violated public safety standards.,Commercial,1
I need help understanding my rights as a potential guardian.,Personal Status,0
Authorities opened a case involving extortion through social media.,General,2
I need legal support to complete my divorce without delay.,Personal Status,0
I’m filing a complaint because my job contract was violated.,Commercial,1
I’m filing a complaint because the landlord raised my rent illegally.,Commercial,1
my boss terminated me unfairly.,General,2
One company is suing another for not delivering the shipment on time.,Commercial,1
Copyright dispute — unauthorized use of original work.,General,2
Authorities issued new regulations to strengthen investor rights in the market.,Commercial,1
The case centers on verifying the authenticity of allegedly fake contracts.,Commercial,1
The mother is requesting financial help from the father for their children.,Personal Status,0
The heirs filed a case to divide the family estate.,Personal Status,0
I’m seeking a judgment that proves the father’s legal and biological link to the child.,Personal Status,0
What can I do if an online seller sends me the wrong product?,Commercial,1
What can I do if I’m a victim of identity theft?,General,2
Identity theft case — personal data used illegally.,General,2
My ex and I are having trouble agreeing on how to split our property.,Personal Status,0
The mother requested her child’s name to be added to the family identity record.,Personal Status,0
Accident case — injury victim requesting payment for losses.,General,2
I can’t find my passport while I’m outside my home country.,General,2
The client expressed dissatisfaction with the service quality provided.,Commercial,1
A legal conflict occurred between relatives over custodianship authority.,Personal Status,0
My former spouse isn’t allowing me to see my child as agreed.,Personal Status,0
A legal case has been filed due to a conflict among siblings over inherited assets.,Personal Status,0
A case was submitted to change custody from the father to the mother.,Personal Status,0
The case involves brand imitation and misuse of registered trademarks.,Commercial,1
The case involves lost official documents and a request for reissuance.,General,2
"The firm was accused of denying access to financial data, breaching investor rights.",Commercial,1
The court granted custodianship of the minor to the mother.,Personal Status,0
This case involves a delay in shipment that caused conflict between two businesses.,Commercial,1
A privacy complaint was submitted due to unwanted monitoring.,General,2
My brothers are refusing to share the inheritance left by our parent.,Personal Status,0
A case was filed to confirm the authenticity of the testament.,Personal Status,0
The bank’s error led to significant financial loss for its customers.,Commercial,1
A product defect was reported in the latest batch of goods.,Commercial,1
Contract dispute over software development.,Commercial,1
She received a notice for traffic violations captured by a roadside camera.,General,2
There’s an inheritance dispute among my family over shared property.,Personal Status,0
The company signed a new distribution contract with a regional supplier.,Commercial,1
"Online seller sent wrong product, want refund.",Commercial,1
I need legal help because my eviction wasn’t done legally.,Commercial,1
The partner company was accused of infringing on the other’s exclusivity rights.,Commercial,1
The judge suspended inheritance distribution pending the will dispute.,Personal Status,0
The case involves trademark infringement between two businesses.,Commercial,1
The company suffered financial loss due to the unresolved service dispute.,Commercial,1
The borrower filed a case against the bank over a loan dispute.,Commercial,1
She demanded protection after repeated personal data misuse from anonymous accounts.,General,2
A dispute arose over the father’s refusal of child recognition.,Personal Status,0
The case involves unequal treatment and bias at my workplace.,General,2
The mother and father are fighting for custody rights.,Personal Status,0
The other driver filed a false claim.,General,2
What are my options if my ex denies me visitation rights?,Personal Status,0
A disagreement arose after one party violated the debt settlement terms.,Commercial,1
The case involves ongoing noise disturbance and neighborhood conflict.,General,2
A dispute arose about missing pages from the original testament.,Personal Status,0
The court reviewed a service complaint filed against the maintenance provider.,Commercial,1
I was removed from my position without any warning.,General,2
The case involves a customer dispute over product quality and return policy.,Commercial,1
A customer is complaining about the terms of our service contract.,Commercial,1
My employer hasn’t helped me after I was injured during work hours.,General,2
The case involves a disagreement between a homeowner and a contractor.,Commercial,1
My ex-wife and I can’t agree on who should keep the kids after our divorce,Personal Status,0
The case concerns non-compliance with delivery terms under the distribution contract.,Commercial,1
Harassment issue at work — seeking legal protection and guidance.,General,2
My credit report shows a loan I didn’t take out.,General,2
The court ordered a DNA test in the ongoing paternity case.,Personal Status,0
The case is about unpaid freelance services I completed.,Commercial,1
I’m fighting with my ex-husband over who gets custody of our children,Personal Status,0
I need legal help to make the other parent pay child support.,Personal Status,0
Need guidance on child custody.,Personal Status,0
What should I do to make sure my will is legally valid?,Personal Status,0
My landlord shut off utilities and threatened eviction illegally.,Commercial,1
The court reviewed commercial traffic violations involving a company-owned truck.,Commercial,1
The case involves online fraud where I lost money to a fake seller.,General,2
The consultant was hired to evaluate potential business risks before expansion.,Commercial,1
I’m seeking advice on how to report an internet-related crime.,General,2
Car repair shop refuses to fix the issue under warranty.,Commercial,1
A shareholder meeting was called to discuss the company’s financial losses.,Commercial,1
The man denied being part of the claimed family identity.,Personal Status,0
"My car was damaged, but the insurance company won’t cover it.",General,2
I was deceived by an online seller.,General,2
The court reviewed a case involving public safety risks caused by a private company.,Commercial,1
The case involves harmful statements made about me on social media.,General,2
Trouble with visa approval.,General,2
The private hospital faced legal action for a hospital error that harmed a patient.,Commercial,1
The community raised concerns about environmental damage near their homes.,General,2
She claimed she experienced assault during a heated argument.,General,2
Authorities reviewed a case involving serious violations of patient rights.,General,2
The firm requested the court’s intervention in resolving the payment issue.,Commercial,1
The foster parent sought financial assistance for child care expenses.,Personal Status,0
What can I do if someone claims my copyrighted music as theirs?,General,2
The designer claimed ownership of the intellectual property in question.,Commercial,1
I’m interested in adoption and want to understand the required steps.,Personal Status,0
Can I press charges if my bike was stolen from the neighborhood?,General,2
I’m asking for advice about filing a consumer protection claim.,Commercial,1
A dispute arose regarding the scope of business obligations in the agreement.,Commercial,1
A dispute arose after one business copied another’s brand name and logo.,Commercial,1
My social media was compromised.,General,2
"The wife demanded annulment, stating the marriage violated legal rules.",Personal Status,0
Investors warned about increasing business risk in the new project.,Commercial,1
A commercial complaint was filed after a medical center breached patient rights.,Commercial,1
Lost passport situation: traveler needs advice on reporting and replacement.,General,2
A major data breach occurred in a commercial database storing client information.,Commercial,1
He requested the court to annul the marriage contract.,Personal Status,0
my landlord is trying to force me out.,General,2
Adoption case — problems with documents and legal requirements.,Personal Status,0
Legal action against cyberbullying.,General,2
Creditors submitted claims in the ongoing bankruptcy case.,Commercial,1
A case was filed after the victim suffered violence from an unknown person.,General,2
I want to take action against a fraudulent seller who stole my money.,Commercial,1
how to handle an employee harassment complaint.,General,2
The victim filed a complaint about a health risk near his home.,General,2
I want to know what documents and legal steps are needed for adoption.,Personal Status,0
"I got into an accident, and the other driver denies responsibility for the damages.",General,2
A case was filed to validate reconciliation after divorce.,Personal Status,0
A legal dispute arose due to unfair profit sharing in a partnership.,Commercial,1
She submitted documents to verify her marital status.,Personal Status,0
A case was filed due to serious welfare concerns for the children.,Personal Status,0
The trustee was accused of misusing the family endowment funds.,Personal Status,0
The court ruled that the incapacitated person required full-time supervision.,Personal Status,0
I want to know how to make a fair divorce agreement legally binding.,Personal Status,0
A case was opened to withdraw custody from the father.,Personal Status,0
The siblings are arguing about how to divide their parents’ estate.,Personal Status,0
The court opened the testament to review the inheritance instructions.,Personal Status,0
I want to create a will and need help understanding the legal steps.,Personal Status,0
The case involves an unfair termination without proper notice.,General,2
I have problems with my husband so I want a divorce,Personal Status,0
The court handled a commercial dispute involving assault in the workplace.,Commercial,1
I want to file for compensation for an injury that happened at work.,General,2
My former spouse took our child and refuses to return them.,Personal Status,0
The artist accused the company of copyright infringement.,Commercial,1
A case was opened regarding an injury claim following a physical attack.,General,2
The dispute centered around authority and decision-making within management.,Commercial,1
I’m filing a complaint because I wasn’t paid for my freelance project.,Commercial,1
Welfare concerns were raised after reports of neglect and poor supervision.,Personal Status,0
The mother denied the father’s right to visit the children.,Personal Status,0
A legal case was filed regarding the unauthorized sale of a franchise license.,Commercial,1
The case involves property division following a divorce.,Personal Status,0
Warranty dispute — company failed to meet service agreement.,Commercial,1
"The client delayed payment for three months, leading to a legal complaint.",Commercial,1
I’m seeking legal advice about enforcing a software project agreement.,Commercial,1
A case was filed after evidence of financial deception was discovered.,Commercial,1
He filed an injury claim after suffering injuries during a neighborhood dispute.,General,2
Security footage showed a physical attack inside the workplace.,Commercial,1
The case involves reputation damage caused by false statements in public.,General,2
The case involves inappropriate behavior and workplace harassment.,General,2
I experienced harassment while using public transport.,General,2
The shareholders decided on business dissolution following bankruptcy.,Commercial,1
"I was hurt while working, and the company hasn’t covered my expenses.",General,2
The court reviewed a complaint involving fraud in an e-commerce transaction.,Commercial,1
The customer filed a complaint after an online transaction failed.,Commercial,1
The victim presented screenshots proving extortion attempts online.,General,2
The audit revealed several fake contracts in the company’s financial records.,Commercial,1
The company received multiple complaints due to customer dissatisfaction.,Commercial,1
The case focused on addressing welfare concerns in the child’s environment.,Personal Status,0
A dispute arose regarding the repayment of the dowry.,Personal Status,0
I want to know the best way to respond to a customer’s contract complaint.,Commercial,1
The family requested protection of the rights of their incapacitated relative.,Personal Status,0
The mother appealed against the withdrawal of her custody rights.,Personal Status,0
I’m taking legal action to make the father pay for his children’s expenses.,Personal Status,0
The liquidation process began to sell company assets and repay debts.,Commercial,1
My ex and I are discussing property and financial terms after divorce.,Personal Status,0
What should I do if my business partner hides revenue from the tax authorities?,Commercial,1
I’m planning to go through mediation and want to understand the process.,Personal Status,0
The court handled a commercial dispute involving a physical attack during a meeting.,Commercial,1
The court reviewed medical reports in the paternity case.,Personal Status,0
I’m planning to open a new business and need advice on the registration process.,Commercial,1
The driver who hit me doesn’t have insurance.,General,2
I need help understanding court rules for child custody.,Personal Status,0
I lost my passport while traveling abroad.,General,2
The court handled an intellectual property dispute between two tech firms.,Commercial,1
The business promised improvements following feedback about customer dissatisfaction.,Commercial,1
The case involves a dispute over joint profits following business closure.,Commercial,1
Authorities investigated allegations of commercial fraud in the firm’s transactions.,Commercial,1
which authority handles public land violations.,General,2
"I was in a car accident, who should pay for the damages.",General,2
I want to report trademark misuse affecting my business reputation.,Commercial,1
"My package contained the wrong item, and the seller won’t fix it.",Commercial,1
The minority shareholder claimed his voting rights were violated.,Commercial,1
I’m looking for advice on how to enforce a warranty claim legally.,Commercial,1
The inventor filed a case to protect his patent rights.,Commercial,1
Defamation case against a social media user.,General,2
The court reviewed evidence of an assault captured on camera.,General,2
I need legal help to deal with workplace defamation through internal messages.,General,2
A case was opened regarding the hospital’s failure to respect patient rights.,General,2
The partners are in conflict about how to split the company’s earnings.,Commercial,1
I need legal help because my business partner broke our agreement.,Commercial,1
The shareholders held an emergency meeting to address potential insolvency.,Commercial,1
The court ruled in favor of the wife’s alimony claim.,Personal Status,0
The company terminated my contract without any valid reason.,Commercial,1
The tenant took the landlord to court for holding the deposit without reason.,Commercial,1
"The tenant is avoiding payments for water and electricity, and I want to act.",Commercial,1
"Client refusing to sign, even though we already agreed on everything.",Commercial,1
The case involves a disagreement over custody and visitation arrangements.,Personal Status,0
my visa application keeps getting delayed,General,2
What are my options if my ex-partner refuses to share business profits?,Commercial,1
The case involves a partnership dispute due to contract violation.,Commercial,1
The dispute centered on proving the child’s legal family identity.,Personal Status,0
She claimed she was a victim of extortion by an unknown caller.,General,2
Someone posted false information about me online — can I take legal action?,General,2
The court investigated claims of financial deception and document forgery.,Commercial,1
A case was raised to confirm the marriage contract.,Personal Status,0
A case was reported after pollution contaminated the local water supply.,General,2
What should I do if an employee steals company property?,Commercial,1
The court reviewed a complaint concerning delivery issues between two companies.,Commercial,1
Both parents claimed they acted in the best interest of their child.,Personal Status,0
"The eviction happened without legal approval, and I want advice.",Commercial,1
The police received multiple reports of personal data misuse affecting local residents.,General,2
She claimed that the data breach exposed her confidential information.,General,2
The incident involved a data breach that affected hundreds of users.,General,2
The company faced a bank issue after a failed international transfer.,Commercial,1
"I lost my job suddenly, and the company didn’t follow proper procedure.",Commercial,1
The firm requested termination of the financial agreement after repeated delays.,Commercial,1
Residents filed a complaint after noticing a threat to public safety in their area.,General,2
"My ex hasn’t paid any support for months, and I don’t know what to do.",Personal Status,0
What can I do if my landlord evicted me without notice?,Commercial,1
The client failed to settle the payment as agreed in the contract.,Commercial,1
The case involves disagreement among heirs about family assets.,Personal Status,0
The case is about a property boundary dispute between two neighbors.,General,2
A petition was filed to transfer custody following the mother’s remarriage.,Personal Status,0
The buyer denied signing the fake contract submitted as evidence.,Commercial,1
Employee theft of company property.,Commercial,1
I want to make sure my business registration follows all legal requirements.,Commercial,1
A commercial complaint was filed after a company’s waste resulted in environmental damage.,Commercial,1
I’m asking for legal advice because my ex wants full custody of our teen.,Personal Status,0
